Symbol,Name,Sector
ABT,Abbott Laboratories,Health Care
ACN,Accenture plc,Information Technology
ADBE,Adobe Systems Inc,Information Technology
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
AGN,"Allergan, Plc",Health Care
ALL,Allstate Corp,Financials
AMZN,Amazon.com Inc.,Consumer Discretionary
AXP,American Express Co,Financials
AIG,"American International Group, Inc.",Financials
AMT,American Tower Corp A,Real Estate
AWK,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Financials
AMGN,Amgen Inc.,Health Care
APC,Anadarko Petroleum Corp,Energy
ANSS,ANSYS,Information Technology
AON,Aon plc,Financials
AAPL,Apple Inc.,Information Technology
AIZ,Assurant Inc.,Financials
ADP,Automatic Data Processing,Information Technology
AZO,AutoZone Inc,Consumer Discretionary
AVGO,Broadcom,Information Technology
KMX,Carmax Inc,Consumer Discretionary
CBOE,Cboe Global Markets,Financials
CHTR,Charter Communications,Consumer Discretionary
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CME,CME Group Inc.,Financials
STZ,Constellation Brands,Consumer Staples
COST,Costco Wholesale Corp.,Consumer Staples
CCI,Crown Castle International Corp.,Real Estate
DHR,Danaher Corp.,Health Care
DG,Dollar General,Consumer Discretionary
ECL,Ecolab Inc.,Materials
EW,Edwards Lifesciences,Health Care
ETR,Entergy Corp.,Utilities
EFX,Equifax Inc.,Industrials
EQIX,Equinix,Real Estate
ESS,"Essex Property Trust, Inc.",Real Estate
EL,Estee Lauder Cos.,Consumer Staples
RE,Everest Re Group Ltd.,Financials
EXR,Extra Space Storage,Real Estate
FB,"Facebook, Inc.",Information Technology
FIS,Fidelity National Information Services,Information Technology
GD,General Dynamics,Industrials
